2025-08-10 02:36:22 | RepitBot | INFO     | bot.py:158 | initialize_systems | ✅ Подключение к Telegram API установлено. Бот: @roadtomathbot
2025-08-10 02:36:22 | RepitBot | INFO     | bot.py:127 | start_scheduler | ✅ Планировщик запущен с задачами: напоминания об уроках, балансе и дедлайнах ДЗ
2025-08-10 02:36:22 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: database_connection (интервал: 60с)
2025-08-10 02:36:22 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: disk_space (интервал: 300с)
2025-08-10 02:36:22 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: memory_usage (интервал: 120с)
2025-08-10 02:36:22 | RepitBot.HealthMonitor | INFO     | health_monitor.py:266 | setup_default_checks | ✅ Стандартные проверки здоровья настроены
2025-08-10 02:36:22 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: bot_connection (интервал: 120с)
2025-08-10 02:36:22 | RepitBot.HealthMonitor | INFO     | health_monitor.py:99 | start_monitoring | 🔍 Мониторинг здоровья запущен
2025-08-10 02:36:22 | RepitBot | INFO     | bot.py:147 | start_health_monitoring | ✅ Система мониторинга здоровья запущена
2025-08-10 02:36:26 | RepitBot | ERROR    | logger.py:228 | log_telegram_error | Telegram error: {'error_type': 'Global Error Handler', 'user_id': None, 'message': None, 'error': 'Conflict: terminated by other getUpdates request; make sure that only one bot instance is running'}
2025-08-10 02:36:34 | RepitBot.Performance | INFO     | logger.py:156 | sync_wrapper | show_tutor_dashboard executed in 0.000s
2025-08-10 02:36:34 | RepitBot.UserActions | INFO     | logger.py:129 | log_user_action | User 1229333908 - VIEW_DASHBOARD
2025-08-10 02:36:50 | RepitBot.Performance | INFO     | logger.py:156 | sync_wrapper | show_tutor_dashboard executed in 0.000s
2025-08-10 02:36:50 | RepitBot.UserActions | INFO     | logger.py:129 | log_user_action | User 1229333908 - VIEW_DASHBOARD
2025-08-10 02:36:57 | RepitBot.Performance | INFO     | logger.py:156 | sync_wrapper | show_tutor_dashboard executed in 0.000s
2025-08-10 02:36:57 | RepitBot.UserActions | INFO     | logger.py:129 | log_user_action | User 1229333908 - VIEW_DASHBOARD
2025-08-10 02:38:26 | RepitBot | INFO     | logger.py:120 | setup_logging | Система логирования инициализирована
2025-08-10 02:38:26 | RepitBot | INFO     | logger.py:120 | setup_logging | Система логирования инициализирована
2025-08-10 02:38:26 | RepitBot | INFO     | bot.py:171 | main | Database tables created/checked.
2025-08-10 02:38:30 | RepitBot | INFO     | bot.py:367 | main | Запускаем бота...
2025-08-10 02:38:32 | RepitBot | INFO     | bot.py:154 | initialize_systems | ✅ Бот инициализирован
2025-08-10 02:38:33 | RepitBot | INFO     | bot.py:158 | initialize_systems | ✅ Подключение к Telegram API установлено. Бот: @roadtomathbot
2025-08-10 02:38:33 | RepitBot | INFO     | bot.py:127 | start_scheduler | ✅ Планировщик запущен с задачами: напоминания об уроках, балансе и дедлайнах ДЗ
2025-08-10 02:38:33 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: database_connection (интервал: 60с)
2025-08-10 02:38:33 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: disk_space (интервал: 300с)
2025-08-10 02:38:33 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: memory_usage (интервал: 120с)
2025-08-10 02:38:33 | RepitBot.HealthMonitor | INFO     | health_monitor.py:266 | setup_default_checks | ✅ Стандартные проверки здоровья настроены
2025-08-10 02:38:33 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: bot_connection (интервал: 120с)
2025-08-10 02:38:33 | RepitBot.HealthMonitor | INFO     | health_monitor.py:99 | start_monitoring | 🔍 Мониторинг здоровья запущен
2025-08-10 02:38:33 | RepitBot | INFO     | bot.py:147 | start_health_monitoring | ✅ Система мониторинга здоровья запущена
2025-08-10 02:38:37 | RepitBot | ERROR    | logger.py:228 | log_telegram_error | Telegram error: {'error_type': 'Global Error Handler', 'user_id': None, 'message': None, 'error': 'Conflict: terminated by other getUpdates request; make sure that only one bot instance is running'}
2025-08-10 02:38:42 | RepitBot | ERROR    | logger.py:228 | log_telegram_error | Telegram error: {'error_type': 'Global Error Handler', 'user_id': None, 'message': None, 'error': 'Conflict: terminated by other getUpdates request; make sure that only one bot instance is running'}
2025-08-10 02:38:43 | RepitBot | ERROR    | logger.py:228 | log_telegram_error | Telegram error: {'error_type': 'Global Error Handler', 'user_id': None, 'message': None, 'error': 'Conflict: terminated by other getUpdates request; make sure that only one bot instance is running'}
2025-08-10 02:38:48 | RepitBot | ERROR    | logger.py:228 | log_telegram_error | Telegram error: {'error_type': 'Global Error Handler', 'user_id': None, 'message': None, 'error': 'Conflict: terminated by other getUpdates request; make sure that only one bot instance is running'}
2025-08-10 02:38:51 | RepitBot | ERROR    | logger.py:228 | log_telegram_error | Telegram error: {'error_type': 'Global Error Handler', 'user_id': None, 'message': None, 'error': 'Conflict: terminated by other getUpdates request; make sure that only one bot instance is running'}
2025-08-10 02:38:54 | RepitBot | ERROR    | logger.py:228 | log_telegram_error | Telegram error: {'error_type': 'Global Error Handler', 'user_id': None, 'message': None, 'error': 'Conflict: terminated by other getUpdates request; make sure that only one bot instance is running'}
2025-08-10 02:38:59 | RepitBot | INFO     | bot.py:383 | main | Завершение работы бота
2025-08-10 02:39:03 | RepitBot | INFO     | logger.py:120 | setup_logging | Система логирования инициализирована
2025-08-10 02:39:03 | RepitBot | INFO     | logger.py:120 | setup_logging | Система логирования инициализирована
2025-08-10 02:39:03 | RepitBot | INFO     | bot.py:171 | main | Database tables created/checked.
2025-08-10 02:39:06 | RepitBot | INFO     | bot.py:367 | main | Запускаем бота...
2025-08-10 02:39:08 | RepitBot | INFO     | bot.py:154 | initialize_systems | ✅ Бот инициализирован
2025-08-10 02:39:09 | RepitBot | INFO     | bot.py:158 | initialize_systems | ✅ Подключение к Telegram API установлено. Бот: @roadtomathbot
2025-08-10 02:39:09 | RepitBot | INFO     | bot.py:127 | start_scheduler | ✅ Планировщик запущен с задачами: напоминания об уроках, балансе и дедлайнах ДЗ
2025-08-10 02:39:09 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: database_connection (интервал: 60с)
2025-08-10 02:39:09 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: disk_space (интервал: 300с)
2025-08-10 02:39:09 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: memory_usage (интервал: 120с)
2025-08-10 02:39:09 | RepitBot.HealthMonitor | INFO     | health_monitor.py:266 | setup_default_checks | ✅ Стандартные проверки здоровья настроены
2025-08-10 02:39:09 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: bot_connection (интервал: 120с)
2025-08-10 02:39:09 | RepitBot.HealthMonitor | INFO     | health_monitor.py:99 | start_monitoring | 🔍 Мониторинг здоровья запущен
2025-08-10 02:39:09 | RepitBot | INFO     | bot.py:147 | start_health_monitoring | ✅ Система мониторинга здоровья запущена
2025-08-10 02:39:12 | RepitBot | ERROR    | logger.py:228 | log_telegram_error | Telegram error: {'error_type': 'Global Error Handler', 'user_id': None, 'message': None, 'error': 'Conflict: terminated by other getUpdates request; make sure that only one bot instance is running'}
2025-08-10 02:39:16 | RepitBot | ERROR    | logger.py:228 | log_telegram_error | Telegram error: {'error_type': 'Global Error Handler', 'user_id': None, 'message': None, 'error': 'Conflict: terminated by other getUpdates request; make sure that only one bot instance is running'}
2025-08-10 02:39:20 | RepitBot | ERROR    | logger.py:228 | log_telegram_error | Telegram error: {'error_type': 'Global Error Handler', 'user_id': None, 'message': None, 'error': 'Conflict: terminated by other getUpdates request; make sure that only one bot instance is running'}
